OrderID,CustomerAge,Region,OrderValue,PromoCode
11309,24.3,East,233.67,8b9d2434-d806
10065,19.7,South,224.5,9a1de644-65ce
11466,55.0,West,215.33,96da1dac-0353
11554,63.9,West,305.19,27cd8130-ac56
10209,23.3,North,319.23,ec1b8ca1-2858
11130,34.7,East,483.01,b45ed1f0-1776
11354,31.0,East,788.92,daf61a26-33b6
10778,33.8,East,171.99,5af30553-88b1
11437,71.4,North,506.85,baa80dd4-53a9
10946,39.6,South,563.46,c6a7ee39-7545
11683,19.8,East,350.87,10f1bc81-a11d
10435,55.4,West,713.51,a491f0b2-4926
10542,26.0,East,610.26,956269f0-b957
10449,74.8,South,432.14,1c11f735-51e9
11622,56.8,North,338.58,f143262f-3aa6
11396,68.4,East,626.45,5715bd6f-9645
10890,27.0,North,765.36,e9a1fa6f-98cd
11723,54.4,South,164.63,c333e861-004a
11226,36.5,North,133.9,ce88cb2d-7a99
10118,31.7,North,114.24,c40db9b4-41bc
11351,45.1,South,248.79,4fcca39a-bf30
10897,69.3,West,140.75,3985c3cf-ad19
10043,51.5,South,491.33,01d74256-1e24
10468,21.8,North,694.73,3ceddf2d-f888
10438,48.7,West,232.25,683514f2-304b
10198,55.6,East,367.68,baa4b71a-3263
10124,40.9,East,650.44,1bf90e27-6218
10389,48.6,South,366.41,474ebc19-7fe6
11790,70.6,West,656.02,19108be5-078e
11984,23.3,South,174.73,7c52fa17-6d70
11770,40.9,North,173.48,63f2ae24-e8f6
10584,42.1,West,166.1,4bf50b52-1df1
11186,59.9,North,610.98,0ea2622b-f41d
11029,70.4,South,92.66,82010c62-5f24
10140,51.9,South,352.83,91d63f78-1459
11268,22.7,East,751.03,b758588d-7a35
10543,40.6,East,392.92,ef8c485b-04c4
10938,53.4,North,104.95,43e42caf-b2b1
11804,21.9,South,327.15,286218b8-9ae3
11252,74.1,North,550.9,8dfa6a56-3509
11922,68.1,East,136.57,8da01097-8b71
10577,52.5,East,202.7,7d106c60-1a02
10189,54.2,East,83.07,fad409e2-52ba
11518,43.2,West,470.68,1ca3c448-4c50
11117,20.1,East,486.88,25e97977-4140
10085,35.6,North,724.19,1a50aec3-d010
11994,53.4,South,744.32,698c206f-5bd5
11508,70.7,West,651.68,cf8d446a-889a
10326,62.9,North,336.91,787f2425-662e
11672,70.4,East,278.89,3a43b2ba-0c1d
11351,29.0,East,258.95,c5f8bc16-b3c9
11313,47.0,East,754.43,f86c2ca2-5b6d
11189,72.9,East,78.69,98b8e4cc-b0fd
11492,62.8,West,504.66,82ec9f2d-c538
11842,50.9,East,83.29,6fa17735-64e1
10745,42.6,East,517.37,e6697833-9e5a
11365,41.3,West,572.91,8dedf9fb-6238
10861,55.9,West,557.99,e71e43a6-9a16
10831,49.2,North,277.91,35ce8841-a4fd
10952,43.2,South,433.38,bc67f831-2b6a
10581,47.4,East,120.04,4f77a665-65f4
10301,19.4,South,787.95,c4bbb7a9-e92c
10848,68.5,South,588.76,624c69b6-cc9f
10499,26.4,North,719.49,e2add909-d9ac
10448,28.0,West,87.66,d92c9227-e9b5
10273,63.7,East,762.53,e4347d51-da7d
11701,69.7,West,722.91,79844388-84b4
11539,32.1,East,624.36,8573e793-7a7e
10562,43.1,East,225.87,55fa1ab8-2941
10283,26.6,West,570.46,b4d7e28e-20e2
10849,41.2,West,361.83,6b8e869f-0a00
11754,68.2,West,407.73,f1578470-98e3
11543,40.2,West,453.67,e5d6f6e6-f9f9
10449,33.6,West,71.77,06f028ff-db73
10277,67.4,South,87.71,610cf373-6c5e
10931,36.6,West,258.69,6bebac31-29ef
10963,19.1,North,799.93,59970043-2321
11599,72.6,North,615.67,f319c125-6612
11718,19.2,South,228.91,f2a03459-ee18
11432,32.6,East,175.84,d1bdb8c0-9f40
10221,51.0,East,481.85,60141de9-658b
10155,51.7,South,126.43,c5c14eb4-3dfa
11630,74.1,North,310.4,5eddbbbf-aeb5
10025,66.4,West,129.15,f5f62c97-eb62
11448,26.7,South,600.35,7bc67e1f-df03
11691,59.7,East,291.73,ef43613c-8ecf
11805,43.7,West,477.39,ab0e664e-ac3c
10058,46.2,East,186.38,364d7c87-8446
10697,33.9,East,466.84,30e912f2-7b93
11474,41.2,South,567.96,7da67785-08d4
10190,34.8,West,568.84,94e0d3ba-f24f
11133,48.3,West,797.47,8ce6424d-b420
11439,43.9,East,238.55,314d3441-3d36
11521,48.5,South,193.66,bd1531c8-8d91
11483,51.6,East,785.38,d52721e7-97ad
10465,38.6,East,60.61,88bd13d1-8c72
10093,73.5,East,573.06,7daa39f0-0647
11175,34.2,West,380.35,0d270659-f498
10233,64.9,West,418.81,afbb411a-4daf
10305,64.2,East,113.89,3f897142-d514
11241,52.0,South,631.77,61607459-e2ac
10608,67.0,West,279.04,9efba58b-32ce
11940,61.5,South,248.48,14c8b3b4-7acf
10355,49.5,South,52.01,980402a2-951f
10066,31.2,East,577.24,743b65a2-7783
11892,33.1,South,368.85,8b6870b5-4c48
11860,33.1,South,103.56,49e2623d-3fab
10959,57.3,West,757.01,7e695d0d-292f
11224,20.3,West,600.9,9a8cfa3c-0d3e
10187,31.0,North,799.68,c19ad58c-f0e5
11062,55.1,East,186.12,95d82980-fbc3
11984,23.2,East,356.26,292bd156-d2c3
11420,46.2,West,660.17,8cd321b0-e8de
10180,35.9,East,136.94,c5c5b37a-0096
11346,67.6,West,359.94,c1a6423b-e253
11556,20.9,East,461.91,ed7bf656-e050
11803,57.8,North,71.65,cc9fd334-5116
10636,49.4,West,119.91,e9b5c5cf-ec42
11939,24.7,South,423.78,b77350ca-8bfe
10850,65.6,West,232.8,8d1fb540-c465
10390,70.5,South,698.02,6a39aaa6-88ca
11680,18.1,East,678.11,a8f1e091-4c14
10914,48.7,East,299.33,6090d697-a4c0
11780,28.8,South,478.85,c68a152f-1658
10651,60.4,West,339.56,fb16e5db-fd9b
11975,20.1,East,702.28,70b7e868-e9f2
10031,59.2,West,703.2,f84f16b3-264f
10961,62.5,East,303.92,b15516bc-291f
11744,36.7,West,765.6,8a80068d-2308
10480,54.0,East,798.07,bf2c14a0-de31
10201,61.3,North,382.76,b1aa0f6a-0ed2
10094,36.5,North,270.03,5ff595ea-4a88
10500,48.3,South,177.49,deef580f-7b4e
11019,70.0,South,224.14,a34db7c5-eb4c
10522,56.0,West,725.91,28711733-e22a
11935,37.7,East,529.2,40066ff2-9aaf
10407,75.0,West,129.99,b303f438-0b3b
11699,55.5,East,56.07,f93e08d5-fe53
11705,69.5,East,631.81,cd4b69a9-7021
11303,28.8,East,558.32,d69d42f1-31bf
11850,53.8,North,281.7,70d9c9f8-bacf
11499,25.5,East,295.04,6a5e6920-66ce
10270,62.8,East,448.14,e9da484a-543f
10526,70.1,West,775.54,ded255d0-3af7
10959,72.9,South,615.61,8eac0a33-2e3c
11619,40.5,East,452.43,746cdb77-863a
11197,39.7,East,131.26,3bdbc09e-0cd0
11268,68.4,East,736.44,d2e82f38-9ab8
11329,41.3,South,84.01,0986bbeb-fc39
10237,23.5,South,341.48,8a4a0e2d-4f1d
11813,41.6,North,675.27,9d9b6231-8f3a
10067,57.3,South,382.54,f3579560-b9b1
10203,73.9,East,458.35,5bd20c98-cbd8
