order_id,order_date,customer_id,product_id,quantity,status
2079,2024-08-06,76688387-314c,115,39,pending
3248,2024-07-03,839aa6b0-bea7,115,36,pending
2807,2024-07-23,1fe2a062-4e93,136,11,cancelled
3710,2024-09-02,2e8d0bb3-2087,135,38,completed
2383,2024-07-08,d6cf23c0-97a2,141,5,cancelled
3277,2024-07-14,0fa0448e-ea33,108,47,pending
2677,2024-09-06,70547e0b-40af,115,50,pending
2103,2024-09-14,44a3f944-5f3c,125,39,completed
3985,2024-09-09,a9a3d623-9811,103,50,cancelled
3957,2024-08-16,b715e9a1-152a,150,27,cancelled
3585,2024-07-11,5badd3cc-2c26,144,47,completed
3176,2024-08-09,890221e8-e2da,135,3,completed
2006,2024-07-14,1fd36c9b-08bb,128,50,pending
2243,2024-09-30,8847a774-8499,142,45,pending
3728,2024-08-13,62b65955-111a,115,46,completed
3736,2024-09-25,6797d0d2-ce92,125,39,cancelled
2838,2024-08-11,65dd854e-1a8a,110,35,completed
3605,2024-07-25,f70a1cd8-7783,105,15,pending
2385,2024-07-28,fae98ab1-c73e,139,4,pending
3027,2024-07-08,1892a86c-0c28,142,40,cancelled
3819,2024-09-03,f37c9b47-b0ec,125,15,completed
2920,2024-08-20,27948206-0321,136,45,completed
2256,2024-09-11,9f589789-66eb,114,28,completed
2031,2024-07-24,604a6f76-a821,150,17,cancelled
2275,2024-09-08,935d8dc0-7c2e,122,16,completed
2186,2024-08-04,ef9b37c3-25a9,150,46,pending
2292,2024-08-10,392971ca-6a3d,150,41,completed
2586,2024-09-11,ab1fc650-991a,144,31,pending
2631,2024-09-09,120b7e3c-4ee1,128,48,completed
3324,2024-07-14,a70ec0fd-603f,122,40,cancelled
3659,2024-09-05,0f7091ce-56f9,103,30,pending
2609,2024-07-09,57812880-e2ba,130,18,pending
2286,2024-07-15,cde9e043-b762,115,24,completed
3605,2024-08-19,728e8781-9e88,107,16,pending
2374,2024-08-17,6f3d59b2-9658,137,41,completed
3943,2024-07-24,27f02ef8-47bd,110,45,cancelled
3206,2024-09-03,e837f4d5-859a,103,25,cancelled
2382,2024-08-02,5cd599eb-34f2,116,20,cancelled
3552,2024-08-02,187e2adf-c949,135,25,cancelled
2900,2024-09-19,1b4757dc-f92a,150,5,pending
2221,2024-09-24,b912d599-e563,130,6,cancelled
3383,2024-09-08,6d2057ea-4b70,110,23,completed
2169,2024-08-03,0afc2395-a497,110,2,cancelled
2730,2024-07-27,1f721134-edff,135,1,cancelled
3429,2024-07-11,36246e9b-15ce,128,26,completed
3831,2024-07-15,19751397-0d86,103,40,cancelled
3369,2024-09-23,ad53b4d7-84a8,141,26,cancelled
2382,2024-07-22,52375b11-d21d,106,46,pending
3360,2024-08-12,75a2d9af-686e,118,28,cancelled
3706,2024-09-01,d326b572-4f24,118,3,cancelled
2366,2024-07-15,13546b97-27a7,115,7,completed
2041,2024-09-19,d29034f5-c9fc,139,32,completed
2496,2024-08-10,5db307aa-c868,115,9,completed
3872,2024-09-05,996499a2-3a6b,116,3,cancelled
2132,2024-07-26,05b9f899-a43f,124,19,cancelled
2872,2024-09-08,05e464a9-2d4f,118,40,completed
2121,2024-07-03,6d5daced-8161,142,20,completed
2730,2024-08-27,4e966d7e-3ff9,108,26,pending
3603,2024-08-04,c12890a6-298d,118,3,cancelled
2444,2024-09-08,1fb5a757-a945,124,37,pending
2579,2024-07-15,7eea99f6-5fa4,136,29,pending
2887,2024-08-31,2c6be176-8873,125,32,cancelled
2834,2024-07-14,f81a9479-a408,124,7,cancelled
3042,2024-09-04,b4ce8fc6-f6a8,144,17,cancelled
3633,2024-08-19,c7eceefa-1210,118,41,completed
2347,2024-08-07,51ebed6d-e158,141,38,completed
2554,2024-09-20,5028c7c9-04a3,109,33,completed
2125,2024-08-09,fd95e15f-e7a7,135,22,pending
2303,2024-09-22,3ac1d874-2ed0,141,17,completed
3175,2024-08-26,dd6f13e9-5574,115,25,pending
3115,2024-09-30,fdaca6e0-be13,115,29,cancelled
2737,2024-07-11,1c17d37e-4155,103,27,pending
2713,2024-08-04,0faa8b53-4cf6,106,30,cancelled
3431,2024-09-27,59216241-09ee,101,16,completed
3836,2024-09-21,564ed6b6-e3a2,136,41,completed
2782,2024-08-12,ebc4ed49-5257,147,13,pending
3129,2024-09-14,851026dc-a820,139,41,completed
2654,2024-07-30,157cd5aa-a308,145,31,cancelled
2672,2024-07-16,60948fef-0f8d,124,21,completed
2580,2024-07-02,da2e5ba1-a222,135,3,pending
2818,2024-07-16,5931a2f8-7f47,145,18,completed
2928,2024-07-13,c8d5f5b3-a74b,136,48,pending
3277,2024-08-23,f1e8a241-dee4,105,16,pending
3255,2024-08-23,e16d9a58-1803,107,7,pending
2602,2024-07-26,6e0650e0-53d4,135,47,cancelled
3049,2024-07-12,e53fb387-5415,118,30,completed
3337,2024-07-03,8df04557-cf22,150,11,pending
2853,2024-07-23,0dde3c8c-e8fc,108,3,pending
2015,2024-09-29,aa15c298-e3a6,141,9,pending
2465,2024-08-02,62764464-acf0,124,23,cancelled
2268,2024-08-17,90cbe833-0e31,142,28,completed
2051,2024-09-11,082ef60c-6e8c,144,30,cancelled
3964,2024-07-20,9eaf2abb-6f2f,115,12,completed
3144,2024-08-03,f7671b55-2fe5,110,20,pending
3376,2024-09-01,03350016-bd94,148,23,completed
3690,2024-07-16,95d374bc-874d,135,2,cancelled
3788,2024-08-05,bd1fee71-69d0,118,8,completed
2696,2024-09-16,74a43d20-8722,115,3,pending
2164,2024-09-02,b3d1d20d-7f58,115,40,completed
2565,2024-08-20,d1422848-d4b4,148,20,pending
2540,2024-08-24,9b7b2c21-1fcc,115,27,pending
2401,2024-07-26,678399b0-3dc3,135,10,cancelled
3582,2024-09-24,5e09564e-6bfe,110,2,completed
2158,2024-07-15,bd8bd49a-07d8,115,47,cancelled
3959,2024-08-17,b63f3b76-9f0c,145,25,completed
2091,2024-08-09,5c001136-43f3,106,18,cancelled
3990,2024-07-31,c70acc9f-17ee,141,18,pending
2237,2024-07-02,54f41d75-6c25,118,21,cancelled
3195,2024-07-21,80bad340-c296,136,31,pending
3245,2024-07-10,5a1f5dc6-f5f1,116,8,cancelled
2063,2024-08-27,211c7731-e097,125,33,cancelled
2721,2024-08-19,694d2d98-114b,118,32,cancelled
3500,2024-07-03,9700652a-32e6,141,12,pending
3019,2024-08-14,385e93cb-2880,118,49,pending
2650,2024-07-11,cf5e5173-0ff2,145,32,pending
2807,2024-07-21,d3ed95a7-0bb8,135,1,completed
2292,2024-09-29,86bea5e2-2d96,141,39,completed
3465,2024-09-05,f0cd1b8f-3423,141,38,cancelled
2874,2024-09-11,d3cad99a-1aef,115,44,pending
3051,2024-07-09,989d14f5-c253,101,1,completed
3184,2024-07-16,706e9585-3ee4,135,6,cancelled
2103,2024-08-28,dc74f390-7ad0,145,2,completed
3121,2024-08-30,29297a33-937c,108,12,pending
3062,2024-09-09,532ba079-2bf2,141,16,cancelled
2548,2024-09-07,a2b8e542-796c,114,25,completed
3713,2024-08-14,46adfd54-7491,144,18,cancelled
2824,2024-09-28,471361fe-319a,136,9,pending
2724,2024-07-06,1c0f3cd7-99e8,118,3,pending
3201,2024-07-05,73136670-1176,115,35,pending
2386,2024-08-24,88e71bfc-a77f,118,44,pending
3984,2024-09-13,213f83a5-dadb,115,32,cancelled
2032,2024-08-19,36f28dd6-3bc4,128,2,completed
3574,2024-09-28,29f21ce0-0044,150,27,completed
2047,2024-08-05,12bc4e80-a1ec,142,6,cancelled
2418,2024-07-05,70aa289d-1f1f,124,43,completed
2601,2024-07-11,daa9ebf3-a4b4,118,28,completed
3405,2024-09-02,4026d3ab-eaba,115,41,cancelled
3167,2024-08-04,2159dc71-8a10,105,3,pending
2492,2024-07-31,51c8be13-d2a5,135,8,completed
2619,2024-09-23,2fb885a8-3ffc,135,48,pending
2848,2024-07-03,059255b6-e125,141,45,completed
2710,2024-08-01,a9db4cf2-e100,128,25,cancelled
3272,2024-09-06,7eb5519d-84e6,150,21,completed
2535,2024-09-03,7ac2aa1a-0157,118,20,pending
3988,2024-07-15,3b0c1227-e26c,136,18,pending
2523,2024-07-16,ae2f76a9-6d01,115,24,pending
2645,2024-08-28,bf1dbe8a-1b11,115,32,cancelled
3185,2024-09-19,68761415-b624,139,19,completed
3573,2024-07-09,eee02523-2d1b,101,35,completed
3902,2024-08-29,63fdf151-2e6b,103,6,cancelled
2543,2024-07-19,c3984dda-47f2,105,19,pending
3555,2024-07-29,447ee6f7-c4f4,106,50,cancelled
3960,2024-09-06,334b712d-65e4,108,12,cancelled
2644,2024-08-22,0d0b8a41-0a58,136,30,pending
3642,2024-07-26,f3fbe02c-2854,136,16,pending
3434,2024-07-26,8f0eb176-56af,150,22,pending
3200,2024-09-03,0a15e538-e8f3,103,36,cancelled
3115,2024-09-04,6bc141b2-a30e,118,23,pending
3819,2024-07-01,1a7f469a-eb64,148,45,cancelled
