student_id,maths,science,english
1164,47,41,87
1071,55,54,48
1189,46,83,87
1140,45,77,67
1009,41,45,53
1060,72,78,41
1144,52,85,81
1180,74,66,54
1115,77,57,91
1002,88,91,50
1179,67,61,57
1040,53,88,61
1027,45,64,46
1092,94,62,78
1068,91,42,86
1118,74,47,99
1097,45,75,58
1161,79,96,95
1093,76,52,85
1018,42,82,54
1198,58,45,94
1060,95,46,64
1072,69,80,93
1094,50,63,62
1054,82,57,84
1175,81,44,78
1163,50,74,86
1063,50,69,64
1070,99,80,84
1143,54,83,60
1197,89,43,54
1009,91,60,65
1069,44,53,98
1146,96,85,60
1055,81,71,65
1165,69,49,56
1036,55,87,75
1138,56,87,77
1110,97,77,65
1093,54,48,72
1127,45,88,43
1029,49,80,50
1175,67,78,44
1099,64,78,69
1136,56,75,95
1003,83,86,47
1175,96,74,88
1069,89,81,61
1029,58,67,50
1117,40,86,96
1185,56,72,88
1046,72,98,46
1161,59,93,80
1130,78,52,49
1096,88,50,74
1200,99,73,98
1001,78,60,71
1005,47,99,63
1079,55,43,55
1146,100,45,45
1188,71,92,44
1195,74,89,48
1033,82,70,100
1141,50,56,73
1156,67,53,99
1139,88,86,84
1052,85,59,65
1172,81,63,68
1133,68,47,55
1058,44,61,41
1151,75,54,77
1057,40,44,85
1162,43,54,44
1009,95,61,44
1132,55,57,82
1125,53,74,48
1186,99,96,76
1148,70,55,90
1122,91,66,52
1025,46,82,67
1091,67,66,69
1187,43,83,81
1166,46,43,65
1187,61,91,95
1028,55,52,52
1138,68,48,67
1047,57,69,55
1020,68,91,95
1141,46,43,81
1139,93,40,45
1193,94,55,50
1105,71,70,53
1103,97,43,50
1098,40,64,56
1117,58,67,84
1188,90,75,82
1184,71,49,52
1076,53,43,77
1189,74,43,87
1081,43,43,77
1123,72,98,94
1136,50,43,72
1021,94,51,44
1153,44,83,95
1061,65,47,100
1146,55,77,78
1011,79,45,66
1169,77,76,73
1081,99,56,53
1172,85,60,55
1068,65,48,82
1166,59,69,60
1193,99,44,40
1118,79,76,46
1019,74,53,72
1068,48,99,62
1018,96,55,63
1073,50,68,93
1140,85,59,79
1168,73,40,82
1142,59,99,82
1027,100,96,48
1068,47,96,46
1191,75,49,57
1073,78,53,85
1088,53,83,80
1068,72,71,56
1014,45,80,67
1071,42,40,61
1198,48,80,56
1042,87,68,75
1181,67,75,40
1029,44,100,96
1177,97,49,74
1010,93,63,77
1142,49,67,48
1011,59,63,97
1011,97,62,53
1175,55,82,46
1091,89,75,96
1105,79,87,49
1061,95,50,91
1046,96,66,41
1046,87,99,61
1106,91,82,95
1189,91,55,57
1041,90,84,46
1098,95,42,94
1121,54,52,92
1118,62,59,92
1059,54,41,82
1050,65,61,57
1018,89,57,62
1165,72,65,83
1138,61,100,41
1030,96,56,51
1149,56,42,46
1153,67,62,86
1081,67,78,72
1030,64,97,76
1049,56,42,85
1112,40,73,99
1138,83,86,100
1190,87,82,52
1094,67,44,100
1171,98,61,79
1081,82,94,47
1185,97,59,72
1080,82,66,60
1104,84,58,75
1033,52,66,82
1098,83,87,97
1045,79,76,59
1104,75,93,40
1078,58,53,67
1149,78,81,60
1120,68,68,83
1055,72,70,90
1189,50,82,45
1073,72,82,80
1159,61,45,92
1193,55,83,59
1058,91,52,49
1007,42,55,70
1157,94,89,44
1117,66,96,80
1148,52,85,84
1099,71,65,55
1038,81,84,40
1193,95,89,96
1028,89,67,54
1046,91,84,73
1119,43,75,55
1032,69,48,91
1119,82,73,75
1153,60,100,88
1114,79,92,86
1130,67,93,98
1141,68,97,50
1191,95,70,68
