order_id,sales,profit,discount,quantity,category
2824,134.8,-87.46,0.18,2,Office Supplies
9935,443.82,132.88,0.02,4,Technology
9279,3014.07,341.87,0.57,9,Furniture
4611,2251.55,-82.71,0.7,3,Office Supplies
7924,1707.85,-266.78,0.77,6,Technology
2519,1905.84,38.47,0.28,5,Technology
8527,2685.78,959.67,0.3,9,Furniture
6925,2890.99,556.86,0.04,4,Furniture
2307,4278.04,799.73,0.3,8,Office Supplies
6977,821.64,32.91,0.54,2,Office Supplies
3803,2675.36,-132.78,0.37,5,Office Supplies
4598,3426.23,764.28,0.62,4,Technology
6168,2011.81,-400.72,0.73,10,Office Supplies
6155,1071.01,248.85,0.71,8,Technology
5339,706.76,617.48,0.43,10,Furniture
7543,1816.36,995.99,0.11,8,Technology
1771,4306.9,-270.74,0.13,7,Office Supplies
2040,1929.99,393.83,0.37,5,Office Supplies
1188,3404.61,-328.17,0.71,5,Office Supplies
6573,566.65,152.15,0.36,5,Office Supplies
3927,2543.33,-340.38,0.5,9,Office Supplies
4258,772.67,643.77,0.43,9,Technology
6310,2448.14,-332.2,0.29,5,Technology
1949,1211.95,351.04,0.06,8,Technology
9727,3831.51,-307.41,0.38,9,Technology
5342,2643.09,409.89,0.77,9,Office Supplies
4295,3567.62,98.49,0.54,6,Furniture
9479,2262.92,-128.14,0.05,1,Office Supplies
4770,2946.32,-489.21,0.57,1,Technology
2104,4528.05,789.45,0.06,4,Furniture
8953,1079.04,-301.53,0.75,10,Office Supplies
8744,1222.56,209.46,0.33,2,Technology
8062,1777.94,116.65,0.69,1,Office Supplies
2612,312.46,592.32,0.64,2,Technology
4139,959.14,172.92,0.34,5,Furniture
5092,4373.68,-386.92,0.65,9,Technology
1828,3264.2,310.88,0.01,2,Technology
3724,2038.01,222.04,0.69,1,Technology
7209,20.76,85.63,0.74,8,Furniture
7930,3485.99,595.76,0.63,8,Technology
4111,1490.57,953.06,0.46,9,Technology
6138,295.25,376.27,0.4,9,Technology
1931,4804.29,-379.83,0.15,10,Technology
4853,2024.84,912.39,0.46,10,Office Supplies
1651,3100.71,128.84,0.47,9,Furniture
5272,1029.25,574.29,0.19,7,Technology
5915,2291.55,893.53,0.75,1,Furniture
2638,375.57,-180.27,0.21,6,Technology
