order_id,city,category,sales,profit,status
a3b1799d-0cce,Bangalore,Office,13000.0,-326.0,Completed
6c031199-0f41,Mumbai,Furniture,12400.0,5224.0,Completed
6b65a6a4-e5fe,Bangalore,Office,40662.0,-1922.0,Completed
b2b9437a-ae35,Delhi,Furniture,11550.0,7162.0,Completed
17be3111-3184,Delhi,Office,30583.0,7686.0,Cancelled
89463e85-c1cf,Mumbai,Tech,15366.0,5544.0,Cancelled
93cd59bf-239c,Mumbai,Tech,12167.0,1473.0,Completed
daf61a26-33b6,Delhi,Office,23217.0,8009.0,Completed
5ec42e08-6b44,Bangalore,Office,35389.0,6203.0,Completed
baa80dd4-53a9,Delhi,Office,14227.0,9105.0,Completed
af42e12f-1ca3,Mumbai,Furniture,40447.0,2814.0,Completed
508ebad7-ff9b,Delhi,Tech,23484.0,1179.0,Completed
89fa6a68-db5b,Bangalore,Office,18738.0,9968.0,Completed
827050a8-2e8b,Mumbai,Furniture,8489.0,-80.0,Cancelled
98ae4334-c500,Delhi,Tech,49810.0,4349.0,Completed
c0398710-ae2b,Mumbai,Office,22303.0,3445.0,Cancelled
c30ff46e-367b,Bangalore,Office,42242.0,4092.0,Completed
2720797d-52b6,Bangalore,Tech,46006.0,5187.0,Cancelled
04fc6d82-b9d8,Delhi,Furniture,3838.0,8536.0,Completed
c40db9b4-41bc,Bangalore,Office,47396.0,-18.0,Cancelled
f6e07cc0-66fd,Bangalore,Office,20551.0,6060.0,Cancelled
847fd9b4-3df4,Mumbai,Furniture,4137.0,-1748.0,Completed
96a402f2-03ae,Mumbai,Tech,31924.0,747.0,Completed
dc1110c1-2447,Bangalore,Furniture,14645.0,3825.0,Completed
93829b43-7c6a,Delhi,Office,10330.0,-837.0,Cancelled
5ab33edf-d27b,Delhi,Tech,3654.0,5841.0,Completed
0f844fef-adb9,Mumbai,Furniture,10388.0,4435.0,Completed
6c006f61-8e9d,Delhi,Furniture,43850.0,-1095.0,Completed
d605e770-2fc0,Mumbai,Furniture,20914.0,3776.0,Cancelled
e7067ef4-544b,Delhi,Furniture,49280.0,1182.0,Cancelled
490617f2-f92c,Mumbai,Furniture,15539.0,9625.0,Completed
bf7b539b-1d44,Mumbai,Tech,24363.0,9033.0,Completed
82010c62-5f24,Mumbai,Tech,4330.0,8342.0,Cancelled
98326856-29f9,Delhi,Tech,29600.0,4273.0,Cancelled
b758588d-7a35,Delhi,Office,7413.0,5746.0,Cancelled
12922f83-eaa4,Bangalore,Tech,49809.0,-1121.0,Completed
8181a8cc-43d1,Delhi,Furniture,44084.0,2434.0,Completed
8768a84f-9948,Bangalore,Furniture,47008.0,-389.0,Completed
e3c43657-4f96,Delhi,Office,30637.0,6611.0,Completed
da587e8a-fa20,Delhi,Furniture,5523.0,3083.0,Cancelled
0b49452d-aac7,Mumbai,Tech,49010.0,-61.0,Cancelled
0279b6a6-2686,Bangalore,Furniture,27734.0,8015.0,Completed
6e068097-156a,Delhi,Office,45050.0,7553.0,Completed
e61fecc0-6b8f,Bangalore,Furniture,33680.0,2244.0,Cancelled
bfddc3d9-7935,Mumbai,Furniture,44189.0,-1703.0,Cancelled
3f87e362-5182,Bangalore,Furniture,19745.0,-1535.0,Cancelled
38f16a81-ebac,Delhi,Office,41206.0,8456.0,Completed
3170f437-a811,Delhi,Furniture,48378.0,1349.0,Cancelled
0710d430-85bd,Mumbai,Tech,48164.0,1186.0,Completed
98b8e4cc-b0fd,Bangalore,Office,22383.0,9811.0,Completed
939b462d-826a,Mumbai,Tech,22367.0,4239.0,Completed
5d3d9e56-23d3,Bangalore,Office,31535.0,5961.0,Completed
688c7015-ce07,Bangalore,Office,28166.0,302.0,Cancelled
e71e43a6-9a16,Delhi,Tech,41853.0,1646.0,Completed
a79ac9aa-ee12,Delhi,Office,34106.0,4134.0,Completed
a8aa7158-914c,Bangalore,Tech,32014.0,2022.0,Completed
ac3c5640-7304,Mumbai,Furniture,2197.0,938.0,Cancelled
c4bbb7a9-e92c,Delhi,Tech,29208.0,6620.0,Cancelled
7e8f8095-7ceb,Mumbai,Tech,34693.0,8712.0,Completed
c7468f59-700b,Mumbai,Tech,26380.0,-1397.0,Completed
1f115b76-4445,Delhi,Tech,27025.0,4707.0,Cancelled
e4347d51-da7d,Bangalore,Office,44963.0,6924.0,Cancelled
7337c599-7e96,Bangalore,Office,38525.0,4256.0,Completed
464c04af-27ab,Bangalore,Office,12490.0,2030.0,Completed
236c7b87-7667,Delhi,Tech,8487.0,567.0,Cancelled
68586eba-ee8d,Delhi,Furniture,11135.0,3042.0,Completed
6160a6b4-0304,Delhi,Office,37920.0,8241.0,Cancelled
e5d6f6e6-f9f9,Mumbai,Office,22356.0,-1652.0,Cancelled
cc530e36-5480,Delhi,Furniture,49055.0,4409.0,Cancelled
a9ba5a27-2afb,Bangalore,Office,7649.0,3540.0,Completed
42999aa4-a79a,Mumbai,Office,17015.0,7135.0,Cancelled
6bebac31-29ef,Delhi,Furniture,37702.0,-1375.0,Cancelled
3f4df561-0a6f,Bangalore,Furniture,12689.0,3683.0,Completed
37cc863b-8332,Delhi,Furniture,30689.0,9565.0,Completed
4fa03f26-0d25,Delhi,Tech,34190.0,9498.0,Cancelled
32c5bd89-7c56,Mumbai,Tech,38852.0,8204.0,Completed
0a8381be-db54,Bangalore,Office,4379.0,5771.0,Completed
d97dc9cd-fafb,Mumbai,Office,48079.0,5627.0,Cancelled
b5122df8-def8,Mumbai,Tech,26566.0,5805.0,Cancelled
7701f7bb-896b,Delhi,Furniture,41706.0,-960.0,Cancelled
6105716b-0eb1,Delhi,Office,9910.0,545.0,Cancelled
57207246-8d73,Bangalore,Furniture,26315.0,293.0,Completed
b856d035-fa26,Bangalore,Furniture,34840.0,5751.0,Cancelled
046a0df5-96a6,Mumbai,Office,34898.0,1674.0,Cancelled
87ea7ff5-d9db,Bangalore,Tech,17209.0,6434.0,Cancelled
4e7ed827-7609,Mumbai,Tech,10437.0,-565.0,Completed
3108d448-f7e8,Delhi,Tech,29890.0,7122.0,Cancelled
fb02bebb-6363,Delhi,Furniture,18683.0,1627.0,Completed
4639447b-1bea,Bangalore,Office,35173.0,-485.0,Cancelled
48ca7651-f51a,Delhi,Office,10034.0,-1383.0,Cancelled
10ba58e3-fbc6,Mumbai,Tech,31843.0,-1357.0,Completed
f2f9e5fa-2b9c,Mumbai,Furniture,28346.0,2994.0,Completed
61607459-e2ac,Delhi,Tech,49512.0,1665.0,Completed
bd767e35-6a63,Bangalore,Furniture,13968.0,-1026.0,Completed
1337739e-015e,Delhi,Office,34779.0,3639.0,Completed
3b4206c5-90c0,Bangalore,Office,4488.0,801.0,Cancelled
ef04e57d-d9ab,Mumbai,Tech,12016.0,-212.0,Cancelled
d39e198b-248f,Mumbai,Furniture,39839.0,5141.0,Cancelled
706c5c56-eff9,Bangalore,Office,35287.0,9312.0,Cancelled
7010f719-1468,Delhi,Tech,16794.0,1004.0,Completed
d248a9a7-1499,Mumbai,Office,26429.0,3307.0,Cancelled
95d82980-fbc3,Mumbai,Office,18050.0,2000.0,Completed
db946570-a8dc,Delhi,Tech,25278.0,5951.0,Cancelled
8cd321b0-e8de,Mumbai,Office,13368.0,-609.0,Cancelled
764414fd-1bc0,Mumbai,Tech,18727.0,7077.0,Cancelled
c28ebd70-6838,Delhi,Tech,7420.0,1456.0,Cancelled
1f15c7b6-7a85,Bangalore,Furniture,16227.0,-1836.0,Cancelled
17dc8eff-3a17,Delhi,Furniture,32738.0,-152.0,Cancelled
45ff2c83-f70a,Delhi,Furniture,23383.0,-264.0,Completed
e11b868d-23be,Delhi,Office,17654.0,7453.0,Cancelled
d20f87d0-90d0,Bangalore,Office,42036.0,4959.0,Cancelled
dd81b7f5-e4a1,Bangalore,Office,17911.0,4623.0,Cancelled
b28f41de-c414,Mumbai,Office,3139.0,6936.0,Cancelled
fb16e5db-fd9b,Mumbai,Furniture,25612.0,5082.0,Completed
70b7e868-e9f2,Mumbai,Tech,8064.0,8451.0,Completed
1327f1bc-87b1,Delhi,Tech,34943.0,5798.0,Cancelled
