order_id,item,price,notes,status,event_time,sale_date
2309,orange,12.5,Tempor do aliquip nisi irure sit aliqua ipsum do ad ipsum sed ullamco.,delivered,2025-08-14,2026-04-05
2206,banana,12.5,Commodo ut labore adipiscing reprehenderit labore sit amet duis nostrud commodo aliquip veniam reprehenderit.,delivered,2025-03-22,2025-10-28
2698,APPLE,100.0,Sed dolor laboris ea voluptate duis aute dolore ut consequat adipiscing et.,shipped,2025-03-15,2025-06-25
2093,Banana,45.0,Dolore voluptate ullamco veniam nisi duis ea do ipsum ut tempor.,packed,2025-11-19,2025-08-06
2342,Apple,22.99,Ut tempor eiusmod quis tempor nostrud irure magna do voluptate ad sit dolor.,ordered,2025-06-06,2025-06-13
2622,mango,8.0,Dolore voluptate minim reprehenderit aute lorem ut nisi veniam tempor ullamco.,ordered,2025-10-28,2026-03-22
1323,Apple,12.5,Aute tempor ad elit dolor aute incididunt ullamco exercitation adipiscing ex veniam ea.,ordered,2025-11-28,2026-05-16
1039,orange,100.0,Commodo eiusmod eiusmod quis sit aliquip consequat voluptate minim consectetur laboris in elit minim.,delivered,2025-08-05,2025-07-25
2460,banana,22.99,Ullamco aliqua minim consectetur do labore nostrud do do sit ullamco do irure.,shipped,2025-03-14,2025-09-01
1570,Apple,N/A,Consectetur in quis enim ea commodo sed amet aliqua aliqua enim aliquip.,ordered,2025-03-04,2026-02-17
2491,Mango,8.0,Sed veniam adipiscing elit ut aute sit commodo duis.,ordered,2025-02-21,2025-01-16
2984,orange,N/A,Magna enim aute irure elit lorem dolore dolor ea.,shipped,2026-03-10,2026-05-14
1317,Banana,error,Reprehenderit quis veniam ex dolor nostrud ad duis adipiscing.,ordered,2025-07-10,2025-03-12
2218,orange,N/A,Consectetur irure eiusmod nostrud exercitation aliqua nostrud minim in sed ut.,packed,2025-09-29,2026-02-10
1268,banana,5.5,Dolor in lorem exercitation quis amet veniam ad consectetur et.,ordered,2025-09-08,2026-01-14
1583,ORANGE,5.5,Veniam ut voluptate commodo minim laboris veniam in amet aute tempor irure aliquip adipiscing.,shipped,2025-08-04,2025-12-18
1416,banana,5.5,Irure duis sit aliqua tempor lorem ea ullamco tempor aliquip.,delivered,2025-01-10,2025-04-25
1154,ORANGE,12.5,Et veniam aliqua ipsum et in reprehenderit ipsum et nisi laboris et quis aute.,packed,2025-08-31,2025-06-16
2999,ORANGE,22.99,Elit dolor ea magna laboris aliquip eiusmod adipiscing.,ordered,2026-01-27,2025-02-09
2758,Apple,N/A,Consequat ut ut commodo do ipsum sed labore aute.,shipped,2025-12-26,2026-02-14
2391,apple,100.0,Amet reprehenderit elit reprehenderit tempor amet aliqua aliquip.,shipped,2026-03-23,2025-04-29
1788,APPLE,N/A,Ipsum aliqua minim commodo nisi in aliquip sed aliqua in.,shipped,2025-11-18,2025-05-08
2474,banana,error,Magna magna incididunt consectetur aliqua in nisi irure exercitation incididunt veniam lorem incididunt.,delivered,2025-11-26,2026-04-22
1904,Apple,N/A,Enim irure commodo elit sit minim ullamco labore consequat ex laboris do.,packed,2025-05-31,2025-01-26
1094,Banana,5.5,Duis sit magna ullamco sed nisi ad eiusmod laboris lorem ex ea.,ordered,2026-03-12,2025-08-13
1360,apple,5.5,Veniam dolor consectetur consectetur ut minim quis ut.,delivered,2026-06-01,2026-03-13
2701,apple,5.5,Aliquip enim tempor eiusmod ullamco ex minim exercitation tempor.,ordered,2025-10-20,2025-08-29
1556,Mango,100.0,Sit adipiscing dolore adipiscing do magna labore enim dolor consequat dolore ea.,ordered,2026-01-25,2026-05-04
1012,Mango,error,Dolore irure consequat veniam aliquip commodo irure enim tempor enim dolore laboris commodo aliquip.,delivered,2025-05-11,2025-01-28
2857,mango,12.5,Ullamco consectetur ut dolor dolore do labore ex.,delivered,2025-10-12,2026-03-08
1516,orange,5.5,Ex dolor in do dolor reprehenderit ipsum ipsum.,packed,2025-07-24,2025-01-21
2272,ORANGE,N/A,Enim amet in ut tempor et exercitation reprehenderit ut.,packed,2025-11-15,2025-04-21
2185,Orange,error,Nisi reprehenderit magna ut sit nisi exercitation amet ea duis nostrud consectetur.,ordered,2025-12-22,2026-03-15
2354,Mango,8.0,Ullamco lorem aliqua ad aliqua et irure ut adipiscing elit minim ullamco.,delivered,2026-04-22,2026-03-23
2691,APPLE,error,Duis consequat sit aute eiusmod ut exercitation dolore ipsum duis.,packed,2026-05-15,2025-08-06
1726,banana,100.0,Aute ut tempor lorem in sit ut ad ex nisi.,delivered,2026-04-04,2025-01-18
1190,banana,N/A,Nisi ut nostrud enim minim aliqua ex labore ut tempor eiusmod.,ordered,2025-07-17,2025-11-20
1244,apple,45.0,Do enim aliquip reprehenderit minim incididunt amet sed do.,packed,2025-11-06,2025-01-15
2450,apple,45.0,Ipsum dolor incididunt in ullamco ex amet lorem incididunt enim.,shipped,2025-07-08,2025-02-22
1517,Apple,8.0,Dolor ad quis nisi adipiscing commodo in sit eiusmod veniam magna nostrud exercitation ea.,delivered,2026-04-07,2026-03-30
1608,APPLE,22.99,Quis dolor reprehenderit amet ex exercitation tempor sit eiusmod veniam.,packed,2025-01-03,2026-02-23
1922,APPLE,5.5,Ipsum incididunt incididunt duis sit eiusmod tempor commodo nostrud commodo.,packed,2026-03-12,2025-04-28
2115,Banana,45.0,Consequat sit elit ut ex quis incididunt consectetur nisi ut.,shipped,2026-05-28,2026-05-21
1896,orange,12.5,Aliquip nostrud ipsum do laboris aute nostrud lorem ex consequat quis.,packed,2026-04-27,2026-03-29
2876,banana,45.0,Aliqua consequat reprehenderit enim magna ut amet adipiscing magna ad laboris magna.,ordered,2026-04-11,2025-04-01
1644,banana,100.0,Reprehenderit magna minim voluptate laboris veniam magna sed.,shipped,2026-05-26,2026-03-29
2556,Orange,N/A,Veniam dolor aliqua ut consectetur reprehenderit exercitation eiusmod adipiscing veniam.,delivered,2025-04-06,2025-08-19
2723,orange,5.5,Ullamco adipiscing in incididunt ut magna enim enim.,delivered,2025-05-29,2026-01-28
1390,APPLE,45.0,Sit ea duis labore ea tempor lorem aliquip duis quis laboris aute ut enim.,shipped,2026-01-22,2026-04-12
2910,Mango,N/A,Eiusmod dolore duis magna ut enim dolor dolore voluptate commodo laboris adipiscing reprehenderit.,packed,2026-05-30,2025-12-06
2781,orange,5.5,Minim ut aliquip magna laboris adipiscing enim reprehenderit.,shipped,2026-02-12,2025-03-24
2744,Mango,22.99,Exercitation irure enim veniam exercitation eiusmod nisi incididunt do sit.,ordered,2025-04-13,2026-03-31
1340,banana,12.5,Ut dolor et aliqua eiusmod magna nisi elit.,packed,2025-03-22,2026-01-27
2269,Banana,5.5,Adipiscing ut eiusmod eiusmod lorem commodo irure nisi adipiscing aliqua labore nostrud.,delivered,2025-09-14,2026-04-13
2731,banana,N/A,Duis amet dolore et incididunt ut lorem consequat magna lorem aute.,ordered,2026-05-24,2025-10-21
2588,Banana,100.0,Ullamco exercitation nisi ut laboris duis ullamco irure ullamco.,shipped,2026-03-28,2025-02-04
2186,Mango,45.0,Dolor labore magna sed ea aute et ad.,shipped,2025-06-18,2025-09-21
2871,Apple,error,Aute commodo enim sit ex do nisi laboris magna duis veniam sit dolore.,shipped,2025-05-07,2026-04-11
1754,banana,22.99,Ullamco et nisi enim exercitation in labore exercitation ullamco ullamco ut ut ullamco consectetur.,ordered,2025-02-08,2025-11-08
2008,orange,8.0,Irure consectetur ut laboris aliquip in aliqua aliquip adipiscing.,delivered,2025-04-12,2026-05-17
